SimulationTime,CW
0.01,64
0.01,1024
0.02,64
0.02,1024
0.03,512
0.03,256
0.04,32
0.04,16
0.05,256
0.05,512
0.06,512
0.06,128
0.07,256
0.07,128
0.08,256
0.08,256
0.09,32
0.09,512
0.1,512
0.1,128
0.11,32
0.11,512
0.12,16
0.12,32
0.13,16
0.13,16
0.14,512
0.14,16
0.15,128
0.15,16
0.16,64
0.16,1024
0.17,256
0.17,16
0.18,16
0.18,128
0.19,1024
0.19,64
0.2,32
0.2,1024
0.21,16
0.21,128
0.22,1024
0.22,1024
0.23,128
0.23,128
0.24,1024
0.24,128
0.25,1024
0.25,512
0.26,32
0.26,128
0.27,32
0.27,16
0.28,128
0.28,16
0.29,32
0.29,1024
0.3,16
0.3,1024
0.31,256
0.31,32
0.32,128
0.32,512
0.33,64
0.33,1024
0.34,128
0.34,64
0.35,64
0.35,32
0.36,64
0.36,256
0.37,32
0.37,256
0.38,256
0.38,16
0.39,64
0.39,512
0.4,64
0.4,1024
0.41,32
0.41,64
0.42,128
0.42,512
0.43,32
0.43,512
0.44,512
0.44,64
0.45,256
0.45,128
0.46,128
0.46,128
0.47,16
0.47,512
0.48,256
0.48,512
0.49,32
0.49,512
0.5,1024
0.5,256
0.51,256
0.51,16
0.52,512
0.52,512
0.53,256
0.53,128
0.54,256
0.54,16
0.55,1024
0.55,512
0.56,16
0.56,512
0.57,1024
0.57,256
0.58,64
0.58,64
0.59,512
0.59,16
0.6,16
0.6,512
0.61,256
0.61,256
0.62,64
0.62,128
0.63,64
0.63,512
0.64,128
0.64,128
0.65,16
0.65,128
0.66,128
0.66,1024
0.67,64
0.67,256
0.68,16
0.68,16
0.69,32
0.69,1024
0.7,64
0.7,32
0.71,256
0.71,256
0.72,16
0.72,512
0.73,64
0.73,64
0.74,512
0.74,32
0.75,256
0.75,64
0.76,1024
0.76,32
0.77,32
0.77,32
0.78,16
0.78,16
0.79,128
0.79,256
0.8,512
0.8,256
0.81,512
0.81,512
0.82,64
0.82,512
0.83,128
0.83,256
0.84,16
0.84,1024
0.85,64
0.85,32
0.86,256
0.86,256
0.87,32
0.87,32
0.88,256
0.88,16
0.89,16
0.89,64
0.9,128
0.9,1024
0.91,32
0.91,1024
0.92,64
0.92,16
0.93,1024
0.93,64
0.94,32
0.94,128
0.95,512
0.95,64
0.96,256
0.96,1024
0.97,1024
0.97,1024
0.98,512
0.98,256
0.99,16
0.99,1024
1,256
1,256
1.01,256
1.01,16
1.02,16
1.02,16
1.03,256
1.03,16
1.04,64
1.04,32
1.05,128
1.05,1024
1.06,16
1.06,128
1.07,256
1.07,1024
1.08,64
1.08,128
1.09,512
1.09,16
1.1,64
1.1,16
1.11,128
1.11,32
1.12,16
1.12,64
1.13,32
1.13,64
1.14,32
1.14,16
1.15,16
1.15,128
1.16,128
1.16,64
1.17,16
1.17,16
1.18,64
1.18,256
1.19,512
1.19,1024
1.2,128
1.2,512
1.21,128
1.21,1024
1.22,512
1.22,128
1.23,32
1.23,256
1.24,64
1.24,128
1.25,1024
1.25,1024
1.26,16
1.26,256
1.27,64
1.27,128
1.28,16
1.28,1024
1.29,16
1.29,128
1.3,128
1.3,256
1.31,1024
1.31,64
1.32,256
1.32,16
1.33,256
1.33,128
1.34,128
1.34,16
1.35,16
1.35,64
1.36,16
1.36,16
1.37,32
1.37,256
1.38,1024
1.38,256
1.39,128
1.39,16
1.4,128
1.4,32
1.41,16
1.41,32
1.42,64
1.42,1024
1.43,128
1.43,64
1.44,128
1.44,256
1.45,64
1.45,256
1.46,64
1.46,1024
1.47,256
1.47,512
1.48,16
1.48,128
1.49,32
1.49,64
1.5,512
1.5,16
1.51,32
1.51,256
1.52,32
1.52,256
1.53,256
1.53,1024
1.54,512
1.54,256
1.55,1024
1.55,128
1.56,64
1.56,256
1.57,32
1.57,128
1.58,1024
1.58,512
1.59,1024
1.59,16
1.6,128
1.6,128
1.61,1024
1.61,512
1.62,512
1.62,16
1.63,16
1.63,1024
1.64,256
1.64,256
1.65,64
1.65,512
1.66,512
1.66,64
1.67,16
1.67,64
1.68,16
1.68,32
1.69,512
1.69,512
1.7,1024
1.7,256
1.71,512
1.71,32
1.72,256
1.72,512
1.73,256
1.73,256
1.74,16
1.74,1024
1.75,1024
1.75,128
1.76,16
1.76,128
1.77,256
1.77,64
1.78,32
1.78,16
1.79,1024
1.79,32
1.8,128
1.8,512
1.81,16
1.81,16
1.82,32
1.82,128
1.83,32
1.83,16
1.84,16
1.84,32
1.85,64
1.85,128
1.86,256
1.86,512
1.87,256
1.87,256
1.88,16
1.88,16
1.89,256
1.89,64
1.9,256
1.9,32
1.91,16
1.91,16
1.92,1024
1.92,16
1.93,128
1.93,16
1.94,128
1.94,512
1.95,64
1.95,64
1.96,1024
1.96,256
1.97,64
1.97,64
1.98,256
1.98,16
1.99,1024
1.99,1024
2,32
2,128
2.01,16
2.01,1024
2.02,512
2.02,16
2.03,32
2.03,512
2.04,1024
2.04,32
2.05,1024
2.05,16
2.06,256
2.06,64
2.07,512
2.07,256
2.08,256
2.08,512
2.09,32
2.09,64
2.1,512
2.1,256
2.11,512
2.11,32
2.12,512
2.12,32
2.13,16
2.13,256
2.14,16
2.14,64
2.15,256
2.15,256
2.16,128
2.16,256
2.17,512
2.17,1024
2.18,32
2.18,128
2.19,256
2.19,64
2.2,64
2.2,32
2.21,1024
2.21,32
2.22,16
2.22,128
2.23,64
2.23,1024
2.24,128
